Issuer;Liquidity Measure
STANDARD BANK LTD;2,62
FIRSTRAND BANK LTD;2,46
ABSA BANK LTD;2,81
INVESTEC BANK LTD;0,40
NEDBANK LTD;2,47
BNP PARIBAS;-0,39
CAPITEC BANK;-0,28
AFRICAN BANK LIMITED;0,72
MERCANTILE BANK;-0,46
GRINDROD BANK LTD;-0,46
NORTHCHESTER (RF) LTD;-0,46
SOUTHCHESTER (RF) LTD;-0,46
ASHBURTON;-0,46
NEDGROUP INVESTMENTS;2,00
REDEFINE PROPERTIES;-0,14
HYPROP INVESTMENTS LIMITED;-0,45
INVESTEC PROPERTY FUND;-0,45
GROWTHPOINT PROPERTIES LIMITED;-0,12
EQUITES PROPERTY FUND LIMITED;0,00
BIDVESTCO LIMITED;-0,39
MOBILE TELEPHONE NETWORK HOLDINGS PTY LTD;-0,11
TELKOM;-0,28
BARLOWORLD;-0,21
ANGLO AMERICAN SA FINANCE;-0,39
KAP INDUSTRIAL HOLDINGS;-0,21
NORTHAM PLATINUM;0,00
NETCARE;-0,40
PEPKOR HOLDINGS LTD;0,00
SAPPI SOUTHERN AFRICA LIMITED;0,00
SUPER GROUP LIMITED;0,00
TRANSACTION CAPITAL;0,00
PAN AFRICAN RESOURCES;0,00
TOYOTA;-0,12
MERCEDES-BENZ SOUTH AFRICA LIMITED;-0,15
OLD MUTUAL;-0,20
LIBERTY GROUP;-0,31
MMI GROUP;-0,23
DISCOVERY LTD;-0,23
SANLAM;-0,45
SANTAM;-0,41
WOOLWORTHS HOLDINGS;-0,41
LETSHEGO HOLDINGS LIMITED;-0,43
RSA GOVERNMENT;7,00
THE REPUBLIC OF NAMIBIA;0,00
ESKOM;4,83
DENEL SOC LTD;-0,45
CITY OF CAPE TOWN;-0,24
CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;-0,24
SANRAL;1,51
TCTA;-0,35
AIRPORTS CO SOUTH AFRICA;-0,35
LANDBANK;0,31
DEVELOPMENT BANK OF SOUTHERN AFRICA;1,97
TRANSNET SOC LTD;2,65
INDUSTRIAL DEVELOPMENT CORPORATION SA LTD;-0,19
STANDARD BANK NAMIBIA LIMITED;-0,19
TRUE SOUTH ISSUER PTY LTD;-0,08
TRUE SOUTH ISSUER 1 PTY LTD;-0,08
AMBER HOUSE;-0,08
BAYPORT SECURITISATION (RF) LIMITED;-0,08
RICHEFOND CIRCLE (RF) LIMITED;-0,08
MW ASSET RENTALS (RF) LIMITED;-0,08
BAYPORT SECURITISATION (RF) LIMITED;-0,08
THEKWINI;-0,08
