Issuer;Z-Score
ABSA BANK LTD;-0,13
FIRSTRAND BANK LTD;-0,11
STANDARD BANK LTD;-0,26
INVESTEC BANK LTD;-0,33
NEDBANK LTD;-0,40
AFRICAN BANK LIMITED;0,73
BNP PARIBAS;1,15
CAPITEC BANK;2,24
MERCANTILE BANK;0,86
NORTHCHESTER (RF) LTD;-1,00
SOUTHCHESTER (RF) LTD;-1,00
ASHBURTON;-1,00
NEDGROUP INVESTMENTS;-1,00
OLD MUTUAL;-0,46
MMI GROUP;-0,17
LIBERTY GROUP;0,07
DISCOVERY LTD;-0,46
SANTAM;1,41
RSA GOVERNMENT;1,00
TRANSNET SOC LTD;-0,66
SANRAL;0,49
ESKOM;0,18
INDUSTRIAL DEVELOPMENT CORPORATION SA LTD;-0,04
DEVELOPMENT BANK OF SOUTHERN AFRICA;0,28
TCTA;0,18
AIRPORTS CO SOUTH AFRICA;0,12
CITY OF CAPE TOWN;0,63
LANDBANK;0,02
CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY;0,12
CITY OF EKURHULENI METROPOLITAN MUNICIPALITY;0,12
MOBILE TELEPHONE NETWORK HOLDINGS PTY LTD;-0,19
NORTHAM PLATINUM;-0,39
KAP INDUSTRIAL HOLDINGS;-0,17
TELKOM;0,03
PEPKOR HOLDINGS LTD;0,77
TRANSACTION CAPITAL;-0,33
SUPER GROUP LIMITED;2,02
PAN AFRICAN RESOURCES;2,02
BIDVESTCO LIMITED;-0,03
BARLOWORLD;-0,75
WOOLWORTHS HOLDINGS;-0,54
TOYOTA;-0,35
NETCARE;-0,27
MERCEDES-BENZ SOUTH AFRICA LIMITED;-0,20
THEKWINI;0,00
AMBER HOUSE;0,00
MW ASSET RENTALS (RF) LIMITED;0,00
RICHEFOND CIRCLE (RF) LIMITED;0,00
GROWTHPOINT PROPERTIES LIMITED;0,38
REDEFINE PROPERTIES;-0,08
EQUITES PROPERTY FUND LIMITED;-0,01
INVESTEC PROPERTY FUND;-0,01
HYPROP INVESTMENTS LIMITED;0,37
VUKILE PROPERTY FUND LIMITED;-0,10
ACWA BOKPOORT;0,00
KAROSHOEK;0,00
KATHU;0,00
SISHEN;0,00
AURORA;0,00
CASH CONNECT MANAGEMENT SOLUTIONS PTY LTD;0,00
CIVH PTY LTD;0,00
ARDAGH GLASS PTY LTD;0,00
DNI;0,00
LENMED INVESTMENTS LIMITED;0,00
VIRGIN ACTIVE SA PTY LTD;0,00
UNI INDSUTRIES HOLDINGS PTY LTD;0,00
ACTOM PTY LTD;0,00
FORTRESS;0,00
INANI PROPERTY HOLDINGS;0,00
CUSTOM CAPITAL FINANCE PTY LTD;0,00
EMIRA PROPERTY FUND LIMITED;0,00
AECI LIMITED;0,00
PRIMEDIA PTY LTD;0,00
HOMECHOICE PTY LTD;0,00
MERCHANT CAPITAL;0,00
THEBE;0,00
GOLDRUSH GROUP PTY LTD;0,00
ACCELERATE PROPERTY FUND LTD;0,00
PPC CEMENT LTD;0,00
SERVEST PTY LTD;0,00
AFRICAN MARINE SOLUTIONS INVESTMENTS PTY LTD;0,00
THE FOSCHINI GROUP;0,00
MULTICHOICE PTY LTD;0,00
TRONOX;0,00
MEDICLINIC LTD;0,00
VODACOM LTD;0,00
TRACKER CONNECT PTY LTD;0,00
RTT GROUP PTY LTD;0,00
MOTUS;0,00
TSOGO SUN LTD;0,00
RCL FOODS LTD;0,00
K2012150042 (PTY) LTD;0,00
IHS TOWERS SA PTY LTD;0,00
NAMPAK;0,00
GOMO VEHICLE SOLUTIONS PTY LTD;0,00
LIFE HEALTHCARE;0,00
COCA COLA PENINSULA;0,00
DISTELL LIMITED;0,00
RESILIENT REIT LIMITED;0,00
IMPALA PLATINUM HOLDINGS LTD;0,00
EXXARO;0,00
